suite,what,cases,result
ghash_smoke,GF(2^128) algebraic identities,8,"PASS (sw+native, simx+rtlsim)"
aes_gcm_smoke,NIST AES-256-GCM TC13-16,4,"PASS (sw+native, simx+rtlsim)"
gcm_bench,sw vs native tag checksum,all,MATCH (bit-exact)
chacha20poly1305_smoke,RFC 8439 2.3.2/2.5.2/2.8.2,3,"PASS (sw+native, simx+rtlsim)"
chacha20poly1305_bench,sw vs native tag checksum,all,MATCH (bit-exact)
